year,province,subject_type,score,rank_min,rank_max,same_score_count,cumulative_count,batch_line_score,above_batch_line_count,source_url
2025,重庆,历史,203,73230,73239,10,73239,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,202,73240,73247,8,73247,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,201,73248,73259,12,73259,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,200,73260,73269,10,73269,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,199,73270,73276,7,73276,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,198,73277,73280,4,73280,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,197,73281,73285,5,73285,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,196,73286,73290,5,73290,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,195,73291,73297,7,73297,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,194,73298,73306,9,73306,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,193,73307,73312,6,73312,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,192,73313,73319,7,73319,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,191,73320,73325,6,73325,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,190,73326,73333,8,73333,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,189,73334,73338,5,73338,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,188,73339,73344,6,73344,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,187,73345,73348,4,73348,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,186,73349,73350,2,73350,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,185,73351,73352,2,73352,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,184,73353,73358,6,73358,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,183,73359,73362,4,73362,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,182,73363,73366,4,73366,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,181,73367,73369,3,73369,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
2025,重庆,历史,180,73370,73373,4,73373,438,35253,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676749.shtml
