year,province,subject_type,score,rank_min,rank_max,same_score_count,cumulative_count,batch_line_score,above_batch_line_count,source_url
2024,重庆,物理,687,1,161,161,161,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,686,162,177,16,177,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,685,178,199,22,199,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,684,200,226,27,226,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,683,227,253,27,253,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,682,254,280,27,280,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,681,281,310,30,310,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,680,311,345,35,345,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,679,346,376,31,376,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,678,377,409,33,409,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,677,410,447,38,447,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,676,448,481,34,481,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,675,482,518,37,518,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,674,519,560,42,560,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,673,561,617,57,617,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,672,618,671,54,671,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,671,672,714,43,714,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,670,715,761,47,761,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,669,762,820,59,820,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,668,821,883,63,883,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,667,884,956,73,956,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,666,957,1020,64,1020,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,665,1021,1091,71,1091,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,664,1092,1162,71,1162,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,663,1163,1233,71,1233,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,662,1234,1319,86,1319,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,661,1320,1401,82,1401,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,660,1402,1489,88,1489,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,659,1490,1572,83,1572,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,658,1573,1664,92,1664,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,657,1665,1747,83,1747,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,656,1748,1836,89,1836,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,655,1837,1941,105,1941,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,654,1942,2031,90,2031,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,653,2032,2150,119,2150,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,652,2151,2258,108,2258,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,651,2259,2365,107,2365,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,650,2366,2482,117,2482,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,649,2483,2591,109,2591,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,648,2592,2723,132,2723,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,647,2724,2845,122,2845,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,646,2846,2970,125,2970,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,645,2971,3100,130,3100,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,644,3101,3219,119,3219,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,643,3220,3373,154,3373,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,642,3374,3507,134,3507,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,641,3508,3654,147,3654,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,640,3655,3792,138,3792,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,639,3793,3941,149,3941,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,638,3942,4079,138,4079,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,637,4080,4248,169,4248,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,636,4249,4417,169,4417,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,635,4418,4625,208,4625,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,634,4626,4805,180,4805,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,633,4806,4970,165,4970,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,632,4971,5160,190,5160,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,631,5161,5332,172,5332,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,630,5333,5525,193,5525,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,629,5526,5711,186,5711,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,628,5712,5910,199,5910,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,627,5911,6098,188,6098,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,626,6099,6277,179,6277,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,625,6278,6497,220,6497,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,624,6498,6722,225,6722,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,623,6723,6943,221,6943,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,622,6944,7167,224,7167,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,621,7168,7389,222,7389,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,620,7390,7635,246,7635,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,619,7636,7882,247,7882,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,618,7883,8140,258,8140,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,617,8141,8388,248,8388,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,616,8389,8623,235,8623,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,615,8624,8874,251,8874,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,614,8875,9143,269,9143,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,613,9144,9405,262,9405,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,612,9406,9660,255,9660,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,611,9661,9926,266,9926,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,610,9927,10182,256,10182,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,609,10183,10464,282,10464,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,608,10465,10751,287,10751,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,607,10752,11037,286,11037,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,606,11038,11309,272,11309,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
2024,重庆,物理,605,11310,11578,269,11578,427,97452,https://gaokao.eol.cn/chong_qing/dongtai/202406/t20240624_2619011.shtml
