year,province,subject_type,batch,school_code,school_name,major_group_code,major_code,major_name,major_category,discipline_category,admission_type,min_score,min_rank,plan_count,source_url,source_type,confidence,risk_notes
2023,重庆,物理,本科批,1101,北京大学,,558,理科试验班类(理科基础类专业),,,普通类,689,152,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
2023,重庆,物理,本科批,1102,北京大学医学部,,501,基础医学(本博连读),,,普通类,681,152,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
2023,重庆,物理,本科批,1102,北京大学医学部,,502,临床医学(本博连读),,,普通类,685,152,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
2023,重庆,物理,本科批,1102,北京大学医学部,,503,临床医学,,,普通类,685,152,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
2023,重庆,物理,本科批,1102,北京大学医学部,,504,口腔医学(本博连读),,,普通类,686,152,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
2023,重庆,物理,本科批,1102,北京大学医学部,,505,口腔医学,,,普通类,682,152,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
2023,重庆,物理,本科批,1102,北京大学医学部,,506,预防医学(本硕连读),,,普通类,682,152,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
2023,重庆,物理,本科批,1102,北京大学医学部,,507,药学(本硕连读),,,普通类,678,152,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
2023,重庆,物理,本科批,1102,北京大学医学部,,508,护理学,,,普通类,667,362,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
2023,重庆,物理,本科批,1103,中国人民大学,,501,法学,,,普通类,673,235,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
2023,重庆,物理,本科批,1103,中国人民大学,,512,计算机类,,,普通类,664,452,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
2023,重庆,物理,本科批,1103,中国人民大学,,515,工商管理类,,,普通类,663,484,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
2023,重庆,物理,本科批,1103,中国人民大学,,518,人工智能(拔尖班),,,普通类,671,269,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
2023,重庆,物理,本科批,1103,中国人民大学,,521,统计学类,,,普通类,667,362,,https://www.cqksy.cn/site/infopub/2023/gk/lqxx/2023zsxxxb-bkp-wl_pxzy0725.pdf,manual_verified,medium,真实PDF抽取；min_rank按2023一分一段表中投档最低分对应累计人数折算，非官方逐人精确位次。
