year,province,subject_type,score,rank_min,rank_max,same_score_count,cumulative_count,batch_line_score,above_batch_line_count,source_url
2023,重庆,物理,677,1,152,152,152,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,676,153,167,15,167,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,675,168,188,21,188,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,674,189,208,20,208,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,673,209,235,27,235,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,672,236,252,17,252,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,671,253,269,17,269,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,670,270,284,15,284,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,669,285,306,22,306,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,668,307,335,29,335,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,667,336,362,27,362,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,666,363,395,33,395,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,665,396,419,24,419,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,664,420,452,33,452,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,663,453,484,32,484,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,662,485,513,29,513,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,661,514,547,34,547,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,660,548,579,32,579,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,659,580,637,58,637,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,658,638,662,25,662,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,657,663,709,47,709,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,656,710,747,38,747,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,655,748,794,47,794,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,654,795,850,56,850,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,653,851,897,47,897,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,652,898,958,61,958,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,651,959,998,40,998,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,650,999,1052,54,1052,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,649,1053,1107,55,1107,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,648,1108,1173,66,1173,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,647,1174,1230,57,1230,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,646,1231,1283,53,1283,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,645,1284,1343,60,1343,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,644,1344,1404,61,1404,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,643,1405,1477,73,1477,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,642,1478,1554,77,1554,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,641,1555,1620,66,1620,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,640,1621,1694,74,1694,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,639,1695,1776,82,1776,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,638,1777,1851,75,1851,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,637,1852,1935,84,1935,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,636,1936,2017,82,2017,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
2023,重庆,物理,635,2018,2093,76,2093,406,87297,https://gaokao.eol.cn/chong_qing/dongtai/202306/t20230624_2446728.shtml
